car_name,car_versions,car_price_in_rupees,fuel_type,city,year_of_manufacture,car_age
Kia ,Sonet GTX Plus 1.0 iMT [2020-2021],12.5 Lakh,Petrol,Ahmedabad,2022,1
Hyundai, Accent Executive,2.7 Lakh,Petrol,Hyderabad,2011,12
Honda, City ZX CVT Petrol,16.06 Lakh,Petrol,Pune,2022,1
Honda, Brio S MT,2.95 Lakh,Petrol,Noida,2013,10
MG ,Astor Sharp 1.5 MT,15.49 Lakh,Petrol,Bangalore,2022,1
Mahindra, Marazzo M2 8 STR,11.36 Lakh,Diesel,Kolkata,2021,2
Hyundai ,Verna Fluidic 1.6 VTVT SX,3.91 Lakh,Petrol,Delhi,2013,10
Tata ,Harrier XZ [2019-2020],16.95 Lakh,Diesel,Bangalore,2019,4
Hyundai ,i20 Asta 1.2,4.3 Lakh,Petrol,Pune,2012,11
Hyundai ,Xcent SX 1.1 CRDi (O),5 Lakh,Diesel + 1,Thiruvallur,2015,8
Maruti Suzuki, Swift VDi,6.1 Lakh,Diesel,Thane,2017,6
Ford, EcoSport Trend 1.5 TDCi,4.51 Lakh,Diesel,Kolkata,2014,9
Skoda ,Rapid TSI Style AT,11.25 Lakh,Petrol,Bangalore,2020,3
Hyundai, Grand i10 Sportz (O) AT 1.2 Kappa VTVT [2017-2018],5.7 Lakh,Petrol,Thane,2017,6
Maruti Suzuki ,Dzire VXi,6.11 Lakh,Petrol,Ahmedabad,2018,5
MG ,Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,42.85 Lakh,Diesel,Thane,2021,2
Maruti Suzuki, Ciaz ZXi  AT,6.5 Lakh,Petrol,Thane,2016,7
Honda, City V,8.15 Lakh,Petrol,Kolkata,2019,4
Hyundai ,Creta 1.6 S Petrol,11.67 Lakh,Petrol,Delhi,2019,4
Honda, Amaze 1.2 SX i-VTEC,5.09 Lakh,Petrol,Bangalore,2014,9
Mahindra, XUV500 W6 AT,9.5 Lakh,Diesel,Ahmedabad,2017,6
Toyota ,Corolla H2 1.8E,2 Lakh,Petrol,Pallikarnai,2005,18
Maruti Suzuki, Vitara Brezza VDi,7.4 Lakh,Diesel,Thane,2016,7
Honda, Jazz V AT Petrol,5.9 Lakh,Petrol,Mumbai,2016,7
Maruti Suzuki, Celerio VXi,4.43 Lakh,Petrol,Pune,2016,7
Mercedes-Benz, GLE 250 d,54 Lakh,Diesel,Pune,2018,5
Honda ,City ZX CVT Petrol,15.11 Lakh,Petrol,Mumbai,2021,2
Maruti Suzuki, Swift ZXi,7.34 Lakh,Petrol,Pune,2019,4
Mercedes-Benz ,GLE 350 d,47 Lakh,Diesel,Ahmedabad,2017,6
Hyundai, i10 Sportz 1.2 AT Kappa2,3.45 Lakh,Petrol,Mumbai,2012,11
Renault, Kwid 1.0 RXT [2016-2019],4.75 Lakh,Petrol,Mumbai,2020,3
Audi, Q2 Premium Plus I 40 TFSI quattro,30.5 Lakh,Petrol,Ahmedabad,2020,3
Maruti Suzuki, Dzire VXi AMT,6.6 Lakh,Petrol,Thane,2018,5
Maruti Suzuki, Baleno Delta 1.2,4.98 Lakh,Petrol,Delhi,2016,7
Honda ,City V,6.75 Lakh,Petrol,Pune,2016,7
Tata, Nexon XMA (S),10.25 Lakh,Petrol,Ahmedabad,2021,2
Tata, Harrier Kaziranga XZA Plus,22.9 Lakh,Diesel,Ahmedabad,2022,1
Hyundai, Elite i20 Asta 1.2,7.21 Lakh,Petrol,Bangalore,2018,5
Hyundai, Elite i20 Sportz 1.2,8.39 Lakh,Petrol,Bangalore,2019,4
Honda ,Amaze 1.2 VX i-VTEC,5.05 Lakh,Petrol,Pune,2017,6
Maruti Suzuki, Celerio VXi CNG [2017-2019],5.25 Lakh,CNG,Pune,2018,5
Toyota ,Etios G,2.75 Lakh,Petrol,Noida,2011,12
Audi, A4 35 TDI Premium Plus,32.75 Lakh,Diesel,Bangalore,2018,5
Datsun ,redi-GO T [2016-2019],2.7 Lakh,Petrol,Hyderabad,2016,7
Mahindra, KUV100 NXT K6 Plus 6 STR [2017-2020],4.92 Lakh,Petrol,Kolkata,2020,3
BMW ,5 Series 520d Luxury Line,20.99 Lakh,Diesel,Kolkata,2016,7
Mercedes-Benz ,C-Class 220 BlueEfficiency,10.95 Lakh,Diesel,Kolkata,2013,10
Audi ,A6 35 TDI Matrix,24 Lakh,Diesel,Ahmedabad,2016,7
Hyundai ,Grand i10 Nios Sportz 1.2 Kappa VTVT CNG,7.25 Lakh,CNG,Thane,2021,2
Hyundai ,Creta 1.6 SX Plus,8.75 Lakh,Diesel,Delhi,2016,7
Jeep ,Compass Longitude 2.0 Diesel [2017-2020],14.99 Lakh,Diesel,Bangalore,2017,6
Honda, City V Petrol [2017-2019],7.6 Lakh,Petrol,Thane,2017,6
Mahindra ,XUV300 1.5 W8 (O) AMT [2019-2020],13 Lakh,Diesel,Hyderabad,2019,4
MG, Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,41.99 Lakh,Diesel,Bangalore,2020,3
Maruti Suzuki ,Baleno Alpha 1.2,5.24 Lakh,Petrol,Delhi,2016,7
Maruti Suzuki ,Vitara Brezza VDi,8.25 Lakh,Diesel,Thane,2018,5
Volkswagen, Polo GT TSI,9.25 Lakh,Petrol,Hyderabad,2019,4
Renault ,Captur RXT Petrol Dual Tone,6.9 Lakh,Petrol,Mumbai,2018,5
BMW, X1 sDrive20d M Sport,39 Lakh,Diesel,Hyderabad,2019,4
Maruti Suzuki, Ritz Vdi BS-IV,3.45 Lakh,Diesel,Hyderabad,2012,11
Maruti Suzuki ,Alto 800 Lxi,2.69 Lakh,Petrol,Pune,2015,8
Hyundai, Verna SX 1.5 VTVT,11.5 Lakh,Petrol,Kolkata,2021,2
Maruti Suzuki ,Swift DZire ZDI,5.5 Lakh,Diesel,Chennai,2014,9
Ford ,Endeavour Titanium 3.2 4x4 AT,31.43 Lakh,Diesel,Delhi,2018,5
Mercedes-Benz, GLA 200 Sport,21.75 Lakh,Petrol,Mumbai,2017,6
Nissan, Terrano XL (D),5.75 Lakh,Diesel,Mumbai,2015,8
Maruti Suzuki ,Swift VXi,3.34 Lakh,Petrol,Ahmedabad,2012,11
Maruti Suzuki ,Dzire VXi,6.75 Lakh,Petrol,Kolkata,2021,2
Jeep , Limited (O) 1.4 Petrol AT [2017-2020],13.41 Lakh,Petrol,Thane,2018,5
Hyundai ,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],4.82 Lakh,Petrol,Delhi,2018,5
Toyota, Corolla Altis VL AT Petrol,16.5 Lakh,Petrol,Pune,2018,5
Mercedes-Benz, GLE 250 d,55 Lakh,Diesel,Ahmedabad,2018,5
MG, Hector Smart 1.5 DCT Petrol [2019-2020],14.99 Lakh,Petrol,Bangalore,2019,4
Kia ,Seltos GTX Plus AT 1.4 [2019-2020],18.65 Lakh,Petrol,Mumbai,2021,2
Hyundai, Elite i20 Asta 1.2 (O) [2016],6.2 Lakh,Petrol,Ahmedabad,2016,7
Honda, Jazz V Petrol,5.95 Lakh,Petrol,Hyderabad,2016,7
Maruti Suzuki ,SX4 VXI CNG BS-IV,1.71 Lakh,CNG,Delhi,2010,13
Maruti Suzuki ,A-Star VXI,2.95 Lakh,Petrol,Ambattur,2013,10
Mahindra ,Marazzo M6 Plus 7 STR,11.37 Lakh,Diesel,Kolkata,2020,3
Hyundai, i20 Asta (O) 1.0 Turbo DCT,11.95 Lakh,Petrol,Bangalore,2021,2
Honda ,Civic 1.8S MT,3.49 Lakh,Petrol,Thane,2012,11
Kia, Seltos GTX Plus 1.4 DCT,19.95 Lakh,Petrol,Bangalore,2021,2
Citroen, C5 Aircross Shine,35 Lakh,Diesel,Hyderabad,2021,2
Honda ,City 1.5 V MT,3.1 Lakh,Petrol,Mumbai,2010,13
Hyundai ,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],4.15 Lakh,Petrol,Kolkata,2018,5
Maruti Suzuki, Alto 800 LXi CNG [2019-2020],3.89 Lakh,CNG,Pune,2019,4
Hyundai, Grand i10 Magna 1.2 Kappa VTVT [2017-2020],4.65 Lakh,Petrol,Thane,2017,6
Hyundai ,Santro Sportz AMT [2018-2020],5.89 Lakh,Petrol,Bangalore,2018,5
Hyundai ,Grand i10 Magna 1.2 Kappa VTVT CNG [2019-2020],7.78 Lakh,CNG,Pune,2021,2
Ford ,Endeavour Titanium 3.2 4x4 AT,31.5 Lakh,Diesel,Mumbai,2018,5
Hyundai, Verna 1.6 CRDI SX (O),10.9 Lakh,Diesel,Ahmedabad,2019,4
Mahindra, Scorpio VLX 2WD Airbag BS-IV,6.15 Lakh,Diesel,Hyderabad,2014,9
Honda, City V,6.15 Lakh,Petrol,Thane,2015,8
Hyundai ,Elite i20 Asta 1.4 (O) CRDi,5.51 Lakh,Diesel,Ahmedabad,2015,8
Ford ,EcoSport Titanium 1.5 TDCi,4.34 Lakh,Diesel,Kolkata,2013,10
Skoda, Superb L&K TSI AT,34.9 Lakh,Petrol,Pune,2021,2
Maruti Suzuki ,Ertiga ZDI + SHVS,10.8 Lakh,Diesel,Hyderabad,2018,5
Maruti Suzuki ,Wagon R VXi 1.0 [2019-2019],4.25 Lakh,Petrol,Kolkata,2018,5
Maruti Suzuki ,Celerio VXi [2019-2020],4.86 Lakh,Petrol,Delhi,2019,4
Maruti Suzuki ,Alto K10 LXi,2.36 Lakh,Petrol,Delhi,2014,9
Maruti Suzuki ,Wagon R 1.0 VXi,3.57 Lakh,Petrol,Bangalore,2013,10
Hyundai, Tucson GLS 4WD AT Diesel,19.9 Lakh,Diesel,Ahmedabad,2018,5
Volkswagen ,Tiguan Highline TDI,24.95 Lakh,Diesel,Thane,2018,5
Jaguar, XF 2.2 Diesel Luxury,19.5 Lakh,Diesel,Kolkata,2014,9
Honda, Amaze 1.2 S i-VTEC,5.21 Lakh,Petrol,Pune,2016,7
Maruti Suzuki, Wagon R 1.0 LXi CNG,3.35 Lakh,CNG,Thane,2013,10
Hyundai ,Elite i20 Asta 1.2,6.4 Lakh,Petrol,Thane,2017,6
BMW ,X4 xDrive20d M Sport X [2019-2020],62.5 Lakh,Diesel,Ahmedabad,2020,3
Maruti Suzuki ,Vitara Brezza VDi,7.35 Lakh,Diesel,Delhi,2018,5
Maruti Suzuki ,Vitara Brezza VDi,8.01 Lakh,Diesel,Delhi,2019,4
Hyundai ,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],3.6 Lakh,Petrol,Kolkata,2015,8
Maruti Suzuki, Wagon R 1.0 VXI AMT,4.75 Lakh,Petrol,Thane,2019,4
Hyundai ,Elite i20 Sportz 1.2,6.35 Lakh,Petrol,Thane,2017,6
Hyundai, i10 Magna 1.2 Kappa2,2.95 Lakh,Petrol,Mumbai,2013,10
Hyundai ,Grand i10 Nios Magna 1.2 Kappa VTVT,7.12 Lakh,Petrol,Pune,2020,3
Ford, Endeavour Titanium 3.2 4x4 AT,31.89 Lakh,Diesel,Delhi,2018,5
Audi, Q3 35 TDI Premium + Sunroof,21.5 Lakh,Diesel,Hyderabad,2016,7
BMW ,X1 sDrive20i xLine,41.9 Lakh,Petrol,Pune,2021,2
Maruti Suzuki ,Wagon R 1.0 VXI AMT,4.5 Lakh,Petrol,Thane,2015,8
Hyundai, i10 1.1L iRDE Magna Special Edition,3.59 Lakh,Petrol,Delhi,2015,8
Hyundai, i10 Magna,2.5 Lakh,Petrol,Hyderabad,2008,15
Hyundai, Creta 1.6 SX Plus AT Petrol,12.75 Lakh,Petrol,Mumbai,2018,5
Maruti Suzuki, Dzire VXi,6.41 Lakh,Petrol,Chennai,2019,4
Maruti Suzuki ,Swift DZire VXI,4.15 Lakh,Petrol,Thane,2013,10
Ford ,EcoSport Titanium + 1.5L Ti-VCT AT [2019-2020],10.85 Lakh,Petrol,Bangalore,2019,4
Skoda, Yeti Active 2.0 TDI CR 4x2,3.49 Lakh,Diesel,Ahmedabad,2012,11
Hyundai, Santro Xing XG AT,3 Lakh,Petrol,Pallikarnai,2007,16
Maruti Suzuki, Alto K10 VXi,2.34 Lakh,Petrol,Pune,2012,11
Tata, Tiago XE,4 Lakh,Petrol,Ambattur,2022,1
Mercedes-Benz ,GL 350 CDI,47 Lakh,Diesel,Hyderabad,2015,8
Honda ,City E,5.3 Lakh,Petrol + 1,Pallikarnai,2014,9
Maruti Suzuki ,Baleno Alpha 1.2,6.9 Lakh,Petrol,Mumbai,2018,5
Ford, EcoSport Titanium 1.5L Ti-VCT AT,8.29 Lakh,Petrol,Bangalore,2017,6
Hyundai, Tucson 2WD MT Diesel,7.61 Lakh,Diesel,Delhi,2021,2
Maruti Suzuki ,Ciaz Sigma 1.4 MT,6.97 Lakh,Petrol,Pune,2017,6
Hyundai ,Creta SX Plus 1.6 AT CRDI,11.95 Lakh,Diesel,Hyderabad,2017,6
MG ,Hector Sharp 1.5 DCT Petrol [2019-2020],18 Lakh,Petrol,Hyderabad,2021,2
Honda, Brio S MT,4.39 Lakh,Petrol,Bangalore,2014,9
Maruti Suzuki, Eeco 5 STR WITH A/C+HTR [2019-2020],4.92 Lakh,Petrol,Chennai,2020,3
Hyundai ,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],5.39 Lakh,Petrol,Bangalore,2018,5
Volkswagen, Vento Highline Diesel AT,6.35 Lakh,Diesel,Mumbai,2015,8
Maruti Suzuki ,Swift VXi,4.9 Lakh,Petrol,Ahmedabad,2015,8
Volkswagen ,Vento Highline Plus 1.0L TSI Automatic,13.5 Lakh,Petrol,Hyderabad,2021,2
Honda, Amaze 1.5 S i-DTEC,4.5 Lakh,Diesel,Hyderabad,2014,9
Kia ,Seltos HTE 1.5,10.75 Lakh,Petrol,Chennai,2021,2
Toyota ,Corolla Altis 1.8 G L CNG,3.45 Lakh,CNG,Thane,2010,13
Hyundai,Xcent S 1.2 (O),4.75 Lakh,Petrol,Ahmedabad,2015,8
Hyundai ,Santa Fe 2WD MT [2014-2017],16.25 Lakh,Diesel,Bangalore,2015,8
Tata, Tiago Revotron XT [2016-2019],4.45 Lakh,Petrol,Noida,2018,5
Skoda, Rapid Style 1.5 TDI AT,8.25 Lakh,Diesel,Hyderabad,2017,6
Maruti Suzuki ,Celerio VXi AMT ABS,4.45 Lakh,Petrol,Mumbai,2016,7
Maruti Suzuki ,Ritz Zxi BS-IV,3.25 Lakh,Petrol,Mumbai,2012,11
Tata, Safari XZA Plus Adventure,24 Lakh,Diesel,Hyderabad,2021,2
Maruti Suzuki ,Ciaz Alpha 1.4 MT,9.23 Lakh,Petrol,Pune,2018,5
Maruti Suzuki ,Wagon R 1.0 LXI CNG (O),4.65 Lakh,CNG,Thane,2017,6
Audi, A4 2.0 TDI (177bhp) Premium Plus,16.5 Lakh,Diesel,Ahmedabad,2014,9
Mahindra, XUV300 1.2 W6 [2019-2019],7.24 Lakh,Petrol,Kolkata,2021,2
Skoda, Kodiaq Style 2.0 TDI 4x4 AT,29.75 Lakh,Diesel,Mumbai,2017,6
Hyundai ,Creta SX Plus 1.6 AT CRDI,10.23 Lakh,Diesel,Kolkata,2018,5
Toyota ,Innova Crysta ZX 2.4 AT 7 STR,31 Lakh,Diesel,Hyderabad,2021,2
Maruti Suzuki ,Alto 800 Lxi,2.98 Lakh,Petrol,Pune,2016,7
Volkswagen, Vento Highline Diesel AT [2015-2016],7.9 Lakh,Diesel,Ahmedabad,2016,7
Hyundai ,Grand i10 Nios Sportz 1.2 Kappa VTVT CNG,7.09 Lakh,CNG,Pune,2021,2
Hyundai, Elite i20 Magna 1.2,3.95 Lakh,Petrol,Delhi,2014,9
Maruti Suzuki, Eeco 5 STR WITH A/C+HTR [2019-2020],4.33 Lakh,Petrol,Chennai,2019,4
Maruti Suzuki, Celerio ZXi,3.98 Lakh,Petrol,Delhi,2015,8
Hyundai Grand, i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],3.95 Lakh,Petrol,Mumbai,2013,10
Mahindra ,KUV100 NXT K2 6 STR,4.51 Lakh,Petrol,Ahmedabad,2018,5
Maruti Suzuki, Wagon R 1.0 LXi,2.55 Lakh,Petrol,Pune,2011,12
Mercedes-Benz, E-Class E 220 d Avantgarde,60 Lakh,Diesel,Ahmedabad,2020,3
Maruti Suzuki ,Ciaz Alpha 1.3 Hybrid,8.7 Lakh,Diesel,Kolkata,2019,4
Honda, City VX Diesel,8.85 Lakh,Diesel,Kolkata,2018,5
Mahindra ,XUV500 W10,9.75 Lakh,Diesel,Kolkata,2016,7
Hyundai ,Elantra 1.6 SX (O) AT,13 Lakh,Diesel,Hyderabad,2017,6
Hyundai ,Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],5.3 Lakh,Petrol,Hyderabad,2017,6
Hyundai, Elite i20 Asta 1.2,4.46 Lakh,Petrol,Kolkata,2015,8
BMW, 5 Series 530i M Sport [2019-2019],68 Lakh,Petrol,Mumbai,2022,1
Honda ,Jazz VX Petrol,5.32 Lakh,Petrol,Kolkata,2018,5
Renault, Duster RXL Petrol,6.99 Lakh,Petrol,Bangalore,2017,6
Honda ,WR-V VX MT Petrol,7.85 Lakh,Petrol,Mumbai,2018,5
Volkswagen, Polo GT TSI,6.95 Lakh,Petrol,Thane,2016,7
Hyundai ,i10 Sportz 1.1 iRDE2 [2010--2017],2.45 Lakh,Petrol,Kolkata,2014,9
Datsun, GO+ T (O) W/VDC,4.98 Lakh,Petrol,Kolkata,2019,4
Audi, A4 2.0 TDI (177bhp) Premium,13.95 Lakh,Diesel,Thane,2015,8
Maruti Suzuki ,Alto 800 Lxi,2.39 Lakh,Petrol,Hyderabad,2012,11
Maruti Suzuki, Alto K10 VXi [2014-2019],3.79 Lakh,Petrol,Bangalore,2016,7
Hyundai ,Elite i20 Magna Executive 1.2,6.9 Lakh,Petrol,Ahmedabad,2018,5
Skoda ,Slavia Style 1.0L TSI AT,16.58 Lakh,Petrol,Chennai,2022,1
Hyundai, i10 1.1L iRDE Magna Special Edition,4.25 Lakh,Petrol,Ahmedabad,2016,7
BMW ,X1 sDrive20d Expedition,22.5 Lakh,Diesel,Hyderabad,2016,7
Honda, Amaze 1.2 S i-VTEC,4.3 Lakh,Petrol,Ahmedabad,2013,10
BMW, X1 sDrive20d xLine,44.75 Lakh,Diesel,Chennai,2021,2
Mercedes-Benz, S-Class S 350 CDI,69 Lakh,Diesel,Ahmedabad,2017,6
Maruti Suzuki ,Swift VXi AMT [2018-2019],7.95 Lakh,Petrol,Bangalore,2020,3
Hyundai, Santro Sportz,5.89 Lakh,Petrol,Pune,2020,3
Maruti Suzuki, Wagon R 1.0 VXI AMT,4.75 Lakh,Petrol,Chennai,2018,5
Tata, Tiago Revotron XZA [2017-2019],4.75 Lakh,Petrol,Mumbai,2017,6
Volvo, V40 D3 R-Design,16.75 Lakh,Diesel,Mumbai,2018,5
Renault, Kwid 1.0 RXT AMT Opt [2016-2019],4.56 Lakh,Petrol,Chennai,2019,4
Bentley, Continental GT Coupe,70 Lakh,Petrol,Hyderabad,2008,15
Hyundai, Grand i10 Magna 1.2 Kappa VTVT [2013-2016],3.94 Lakh,Petrol,Pune,2014,9
Renault ,Kwid 1.0 RXL [2017-2019],3.35 Lakh,Petrol,Thane,2017,6
Honda ,Amaze 1.2 S AT i-VTEC Opt,6.49 Lakh,Petrol,Bangalore,2016,7
Hyundai, Elite i20 Asta 1.2 [2016-2017],6.5 Lakh,Petrol,Hyderabad,2016,7
Honda, Brio VX AT,4.35 Lakh,Petrol,Mumbai,2014,9
Maruti Suzuki ,Baleno Zeta 1.3,7.3 Lakh,Diesel,Hyderabad,2017,6
Ford ,Figo Trend 1.2 Ti-VCT,4.3 Lakh,Petrol,Ahmedabad,2017,6
Skoda ,Rapid Style 1.6 MPI,6.66 Lakh,Petrol,Pune,2016,7
MG ,Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,39 Lakh,Diesel,Hyderabad,2020,3
Ford ,Aspire Trend Plus CNG,6.77 Lakh,CNG,Pune,2019,4
Honda ,WR-V VX MT Petrol,7.35 Lakh,Petrol,Ahmedabad,2018,5
Jaguar ,XE Prestige Diesel,37.75 Lakh,Diesel,Bangalore,2018,5
Tata, Nexon EV XZ Plus,18.75 Lakh,Electric,Ahmedabad,2022,1
Honda ,Amaze 1.2 VX i-VTEC,4.39 Lakh,Petrol,Pune,2013,10
Honda ,Jazz SV Petrol,4.95 Lakh,Petrol,Noida,2015,8
Tata ,Safari XZA New,26.15 Lakh,Diesel,Pune,2022,1
Renault, Duster 110 PS RXZ 4X2 AMT Diesel,8.95 Lakh,Diesel,Thane,2018,5
Toyota ,Innova Crysta 2.8 ZX AT 7 STR [2016-2020],24 Lakh,Diesel,Hyderabad,2018,5
Skoda ,Rapid Ambition 1.6 MPI AT,8.99 Lakh,Petrol,Bangalore,2018,5
Hyundai, Verna Fluidic 1.6 VTVT SX Opt,6.49 Lakh,Petrol,Bangalore,2015,8
Maruti Suzuki ,Swift VDi,7.5 Lakh,Diesel,Hyderabad,2018,5
Ford ,EcoSport Ambiente 1.5L Ti-VCT,6.25 Lakh,Petrol,Noida,2017,6
Hyundai, i20 Sportz 1.2 (O),8.89 Lakh,Petrol,Bangalore,2020,3
Renault ,Triber RXZ [2019-2020],7.65 Lakh,Petrol,Mumbai,2021,2
Hyundai ,Grand i10 Sports Edition 1.1 CRDi,3.49 Lakh,Diesel,Kolkata,2015,8
Tata, Harrier XZ [2019-2020],15.5 Lakh,Diesel,Ahmedabad,2019,4
Tata ,Altroz XT Petrol,7.06 Lakh,Petrol,Chennai,2020,3
Renault, Duster RXL Petrol,7.89 Lakh,Petrol,Bangalore,2017,6
Hyundai ,Elite i20 Magna Executive 1.2,5.38 Lakh,Petrol,Kolkata,2018,5
Maruti Suzuki ,Ertiga Vxi CNG,7.15 Lakh,CNG,Thane,2014,9
Toyota, Corolla Altis VL AT Petrol,12.95 Lakh,Petrol,Thane,2018,5
Maruti Suzuki ,Dzire VXi AMT,6.47 Lakh,Petrol,Delhi,2019,4
Honda ,City V,8.79 Lakh,Petrol,Delhi,2018,5
Maruti Suzuki, Alto LXi BS-III,1.8 Lakh,Petrol,Hyderabad,2008,15
Honda ,City V CVT Petrol [2017-2019],9.35 Lakh,Petrol,Thane,2018,5
Maruti Suzuki ,Dzire VXi,5.5 Lakh,Petrol,Kolkata,2018,5
Land Rover ,Discovery Sport SE R-Dynamic Petrol,64 Lakh,Petrol,Ahmedabad,2021,2
Honda, Jazz V Petrol,4.25 Lakh,Petrol,Kolkata,2016,7
Hyundai, Grand i10 Sports Edition 1.2L Kappa VTVT,4.5 Lakh,Petrol,Ahmedabad,2014,9
Ford, Figo Titanium1.5 TDCi,3.6 Lakh,Diesel,Kolkata,2015,8
MINI, Cooper Countryman Cooper D,22 Lakh,Diesel,Hyderabad,2013,10
Hyundai ,Verna 1.6 VTVT SX,8.38 Lakh,Petrol,Chennai,2018,5
Maruti , Ciaz VXi+ AT,6.75 Lakh,Petrol,Mumbai,2017,6
Hyundai ,Verna 1.6 VTVT SX,8.76 Lakh,Petrol,Pune,2017,6
